Curso;codigo;X_DENGEN;D_DENOMINA;D_ESPECIFICA;D_TIPO;D_DOMICILIO;D_LOCALIDAD;cod_municipio;D_MUNICIPIO;D_PROVINCIA;C_POSTAL;N_TELEFONO;correo_e;N_LATITUD;N_LONGITUD;N_COUTMX;N_COUTMY;Infantil_2_ciclo;Primaria;ESO;Bachillerato;CCFF_Grado_Básico;CCFF_Grado_Medio;CCFF_Grado_Superior;Cur_Especialización_FP_Grado_Superior
22;04001141;34;Instituto de Educación Secundaria;Nicolás Salmerón Alonso;Público;C/ Celia Viñas, s/n;Almería;04013;Almería;Almería;04007;950156149;04001141.edu@juntadeandalucia.es;36,83295797211826;-2,450360315339026;549011,7632;4076483,049;;;PLURIL ING/FRA;BIL ING;;;BIL ING;
22;04001151;34;Instituto de Educación Secundaria;Celia Viñas;Público;C/ Javier Sanz, 15;Almería;04013;Almería;Almería;04004;950156151;04001151.edu@juntadeandalucia.es;36,838004323633164;-2,4611418366167754;548047,2026;4077037,374;;;BIL ING;;;;;
22;04001163;34;Instituto de Educación Secundaria;Alhadra;Público;C/ de los Colegios, 7;Almería;04013;Almería;Almería;04009;950156930;04001163.edu@juntadeandalucia.es;36,84869354693832;-2,44251631258485;549701,0407;4078232,675;;;BIL ING;BIL ING;;;BIL ING;
22;04001175;20;Centro Docente Privado;San Ildefonso;Privado;Ctra. Prolongación C/ Santiago, s/n;Almería;04013;Almería;Almería;04009;950225740;secretaria@colegiosanildefonso.es;36,846326865;-2,449254562;549101,8173;4077966,651;;BIL ING;BIL ING;;;;;
22;04001187;34;Instituto de Educación Secundaria;Los Ángeles;Público;C/ Maestría, 2;Almería;04013;Almería;Almería;04008;671530970;04001187.edu@ieslosangeles.es ieslosangeles@gmail.com;36,84960568378309;-2,456114888191223;548488,1078;4078326,872;;;BIL ING;;;;;
22;04001199;20;Centro Docente Privado;La Salle-Virgen del Mar;Privado;Avda. Federico García Lorca, 60;Almería;04013;Almería;Almería;04005;950220093;dircentroalmeria@lasalleandalucia.net;36,83923173315211;-2,4586844444274902;548265,5461;4077174,771;BIL ING;BIL ING;BIL ING;;;;;
22;04001230;361;Escuela Infantil;Mar de Alborán;Público;Avda. Padre Méndez, s/n;Almería;04013;Almería;Almería;04006;950156542;04001230.edu@juntadeandalucia.es;36,84028786695851;-2,453277111053467;548747,0163;4077294,674;BIL ING;;;;;;;
22;04001266;12;Colegio de Educación Infantil y Primaria;Luis Siret;Público;Avda. Santa Isabel, 29;Almería;04013;Almería;Almería;04005;950156168;04001266.edu@juntadeandalucia.es;36,845698091579365;-2,456068920248491;548494,6738;4077893,419;BIL ING;BIL ING;;;;;;
22;04001281;12;Colegio de Educación Infantil y Primaria;Los Millares;Público;Finca Santa Isabel, s/n;Almería;04013;Almería;Almería;04008;950156173;04001281.edu@juntadeandalucia.es;36,84854753230031;-2,4657440185546875;547630,3068;4078204,646;BIL ING;BIL ING;;;;;;
22;04001321;12;Colegio de Educación Infantil y Primaria;San Bernardo;Público;Ctra. de Níjar, s/n;El Alquián;04013;Almería;Almería;04130;950156534;04001321.edu@juntadeandalucia.es;36,85330198469659;-2,359390317535258;557108,5811;4078790,37;BIL ING;BIL ING;;;;;;
22;04001357;12;Colegio de Educación Infantil y Primaria;San Indalecio;Público;Cmo. Playa, 17;La Cañada de San Urbano;04013;Almería;Almería;04120;950156428;04001357.edu@juntadeandalucia.es;36,837321210147586;-2,404831051826477;553068,6656;4076991,387;BIL ING;BIL ING;;;;;;
22;04001497;34;Instituto de Educación Secundaria;Mediterráneo;Público;Ctra. AL-153, Km 1¿5;Garrucha;04049;Garrucha;Almería;04630;950451681;04001497.edu@juntadeandalucia.es;37,18553581035483;-1,8246960639953613;604321,2772;4116101,522;;;BIL ING;BIL ING;;;;
22;04001795;12;Colegio de Educación Infantil y Primaria;San Tesifón;Público;Ctra. de Turón, s/n;Berja;04029;Berja;Almería;04760;950579904;04001795.edu@juntadeandalucia.es;36,84333597623159;-2,9619956016540527;503388,4068;4077494,025;BIL ING;BIL ING;;;;;;
22;04001825;34;Instituto de Educación Secundaria;Sierra de Gádor;Público;C/ Ramón y Cajal, 1;Berja;04029;Berja;Almería;04760;950579548;04001825.edu@juntadeandalucia.es;36,84128388222547;-2,9466640949249268;504755,4648;4077267,039;;;BIL ING;;;;;
22;04001931;34;Instituto de Educación Secundaria;Valle del Almanzora;Público;Avda. España, 33;Cantoria;04031;Cantoria;Almería;04850;950639924;04001931.edu@juntadeandalucia.es;37,353562517462336;-2,1870554462543623;571996,9626;4134405,293;;;BIL ING;;;;;
22;04001965;12;Colegio de Educación Infantil y Primaria;Simón Fuentes;Público;Avda. Joan Manuel Serrat, 149;Carboneras;04032;Carboneras;Almería;04140;950451671;04001965.edu@juntadeandalucia.es;37,00617503531533;-1,8949066045764766;598320,6076;4096128,139;BIL ING;BIL ING;;;;;;
22;04002052;34;Instituto de Educación Secundaria;Jaroso;Público;Avda. Carlos Herrera, 25;Cuevas del Almanzora;04035;Cuevas del Almanzora;Almería;04610;950451705;04002052.edu@juntadeandalucia.es;37,29222345474887;-1,877313077209692;599510,4;4127881,205;;;BIL ING;;;;;
22;04002118;12;Colegio de Educación Infantil y Primaria;Alarcón Fernández de Arellano;Público;Avda. Andalucía, 7;Palomares;04035;Cuevas del Almanzora;Almería;04617;950451568;04002118.edu@juntadeandalucia.es;37,24966545360816;-1,8030386939830123;606153,7709;4123240,371;BIL ING;BIL ING;;;;;;
22;04002180;12;Colegio de Educación Infantil y Primaria;Santa María del Águila;Público;C/ Manuel de Falla, 7;Santa María del Águila;04902;El Ejido;Almería;04710;950579936;04002180.edu@juntadeandalucia.es;36,78407141941106;-2,7766576409339905;519928,1906;4070942,405;BIL ING;BIL ING;;;;;;
22;04002258;12;Colegio de Educación Infantil y Primaria;Santiago Ramón y Cajal;Público;C/ Príncipes de España, 15;El Ejido;04902;El Ejido;Almería;04700;697951521;04002258.edu@juntadeandalucia.es;36,78173961608068;-2,8168938138258;516338,5248;4070676,115;BIL ING;BIL ING;;;;;;
22;04002261;12;Colegio de Educación Infantil y Primaria;Diego Velázquez;Público;Avda. Príncipes de España, 13;El Ejido;04902;El Ejido;Almería;04700;950579950;ceipdieg.edu@juntadeandalucia.es;36,781671869819384;-2,817767858505249;516260,5482;4070668,451;BIL ING;BIL ING;;;;;;
22;04002271;12;Colegio de Educación Infantil y Primaria;Loma de Santo Domingo;Público;C/ Alonso Ojeda, 19;El Ejido;04902;El Ejido;Almería;04700;950579814;04002271.edu@juntadeandalucia.es;36,77034549722689;-2,8025436401367187;517621,5968;4069414,72;BIL ING;BIL ING;;;;;;
22;04002283;12;Colegio de Educación Infantil y Primaria;José Salazar;Público;C/ Venezuela, 1. Aptdo. correos 10;El Ejido;04902;El Ejido;Almería;04700;950579553;04002283.edu@juntadeandalucia.es;36,771716266377375;-2,8205037117004394;516018,4995;4069563,622;BIL ING;BIL ING;;;;;;
22;04002295;20;Centro Docente Privado;Divina Infantita;Privado;Plaza Párroco José Jiménez, 16;El Ejido;04902;El Ejido;Almería;04700;631446370;secretaria@einelejido.org;36,77540733794145;-2,814769148826599;516529,468;4069974,045;BIL ING;BIL ING;BIL ING;;;;;
22;04002313;34;Instituto de Educación Secundaria;Santo Domingo;Público;Avda. Oasis, 135;El Ejido;04902;El Ejido;Almería;04700;950579820;04002313.edu@juntadeandalucia.es;36,76696039065149;-2,801135309582719;517748,0608;4069039,473;;;BIL ING;;;;;
22;04002532;34;Instituto de Educación Secundaria;Sierra Nevada;Público;Avda. Juan Aparicio, 3;Fiñana;04045;Fiñana;Almería;04500;950359515;04002532.edu@juntadeandalucia.es;37,16886679645053;-2,8394584709498076;514252,7079;4113617,644;;;BIL ING;;;BIL ING;;
22;04002696;12;Colegio de Educación Infantil y Primaria;Virgen del Río;Público;Avda. Guillermo Reyna, s/n;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451618;04002696.edu@juntadeandalucia.es;37,39160026471673;-1,9437592528968252;593497,3969;4138838,673;BIL ING;BIL ING;;;;;;
22;04002714;34;Instituto de Educación Secundaria;Cura Valera;Público;Avda. Guillermo Reyna, 35;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451905;04002714.edu@juntadeandalucia.es;37,39541368406639;-1,9471607743259937;593191,5667;4139258,39;;;BIL ING;BIL ING;;;;
22;04003123;12;Colegio de Educación Infantil y Primaria;Ntra. Sra. del Rosario;Público;Avda. Andalucía, 2;Macael;04062;Macael;Almería;04867;950639952;04003123.edu@juntadeandalucia.es;37,337062697204686;-2,300269240321086;561983,8062;4132494,46;BIL ING;BIL ING;;;;;;
22;04003135;34;Instituto de Educación Secundaria;Juan Rubio Ortiz;Público;Avda. de Andalucía, 10;Macael;04062;Macael;Almería;04867;950639570;04003135.edu@juntadeandalucia.es;37,33784333595279;-2,29941314104326;562059,0002;4132581,627;;;;;;;BIL ING;
22;04003159;12;Colegio de Educación Infantil y Primaria;Ntra. Sra. de la Cabeza;Público;C/ Mártires de Turón, s/n;María;04063;María;Almería;04838;950419547;003159.edu@juntadeandalucia.es;37,71148376036244;-2,161239411157567;573929,1835;4174135,345;BIL ING;BIL ING;BIL ING;;;;;
22;04003238;12;Colegio de Educación Infantil y Primaria;Concordia;Público;C/ Itálica, s/n;Campohermoso;04066;Níjar;Almería;04110;600140444;04003238.edu@juntadeandalucia.es;36,941625932042726;-2,131648063659668;577322,393;4088748,94;BIL ING;BIL ING;;;;;;
22;04003421;12;Colegio de Educación Infantil y Primaria;Antonio Relaño;Público;C/ Ramón y Cajal, 35;Olula del Río;04069;Olula del Río;Almería;04860;950639548;04003421.edu@juntadeandalucia.es;37,35535063293575;-2,298530096025388;562122,7965;4134524,502;BIL ING;BIL ING;;;;;;
22;04003688;12;Colegio de Educación Infantil y Primaria;Antonio Devalque;Público;Plaza Ocho de Marzo, s/n;Rioja;04078;Rioja;Almería;04260;950156910;04003688.edu@juntadeandalucia.es;36,94679482559667;-2,461506658592157;547946,5805;4089105,606;BIL ING;BIL ING;BIL ING;;;;;
22;04003721;12;Colegio de Educación Infantil y Primaria;Las Marinas;Público;C/ Bartolomé de las Casas, 1;Las Marinas;04079;Roquetas de Mar;Almería;04740;950156762;0403721.edu@juntadeandalucia.es;36,7323237485881;-2,6335108280181885;532722,779;4065241,436;BIL ING;BIL ING;;;;;;
22;04003809;12;Colegio de Educación Infantil y Primaria;Virgen del Rosario;Público;C/ Magisterio, 7;Roquetas de Mar;04079;Roquetas de Mar;Almería;04740;950156768;jm_andres66@yahoo.es;36,763763744652984;-2,6159035596456306;534280,9003;4068735,21;BIL ING;BIL ING;;;;;;
22;04003925;12;Colegio de Educación Infantil y Primaria;Miguel Zubeldia;Público;C/ Carretera, s/n;Serón;04083;Serón;Almería;04890;950429500;04003925.edu@juntadeandalucia.es;37,344724814;-2,508506816;543533,0597;4133228,195;BIL ING;BIL ING;;;;;;
22;04004231;12;Colegio de Educación Infantil y Primaria;Nuestra Señora de Monteagud;Público;C/ Camposanto, s/n;Uleila del Campo;04095;Uleila del Campo;Almería;04279;950368929;.edu@juntadeandalucia.es;37,183727038;-2,204134532;570642,8541;4115550,66;BIL ING;BIL ING;BIL ING;;;;;
22;04004383;12;Colegio de Educación Infantil y Primaria;Torrequebrada;Público;C/ Costa Brava, s/n. Torrequebrada;Aguadulce;04079;Roquetas de Mar;Almería;04721;950156626;04004383.edu@juntadeandalucia.es;36,79700019686557;-2,586604356765747;536879,9611;4072433,021;BIL ING;BIL ING;;;;;;
22;04004401;12;Colegio de Educación Infantil y Primaria;Reyes Católicos;Público;Plaza de la Constitución, s/n;Vera;04100;Vera;Almería;04620;950451472;04004401.edu@juntadeandalucia.es;37,245695843794564;-1,8632826945232636;600816,0633;4122734,096;BIL ING;BIL ING;;;;;;
22;04004437;34;Instituto de Educación Secundaria;Alyanub;Público;C/ Mayor, 58;Vera;04100;Vera;Almería;04620;950451962;04004437.edu@juntadeandalucia.es;37,24542130477572;-1,8647897243499756;600682,7646;4122702,034;;;BIL ING;BIL ING;;;;
22;04004449;12;Colegio de Educación Infantil y Primaria;Joaquín Visiedo;Público;C/ Antonio Machado, s/n, esq. c/ Rodríguez de la Fuente, s/n;Viator;04101;Viator;Almería;04240;950156912;04004449.edu@juntadeandalucia.es;36,88816479761728;-2,4274087052559707;551021,6785;4082619,28;BIL ING;BIL ING;;;;;;
22;04004462;12;Colegio de Educación Infantil y Primaria;Torremar;Público;Avda. del Toyo, 225. El Toyo;Retamar;04013;Almería;Almería;04130;950156627;04004462.edu@juntadeandalucia.es;36,841214706532504;-2,304518828338928;562010,049;4077483,705;BIL ING;BIL ING;;;;;;
22;04004498;12;Colegio de Educación Infantil y Primaria;Ferrer Guardia;Público;Otros DS El Charco.Llanos de la Cañada, s/n;La Cañada de San Urbano;04013;Almería;Almería;04120;950156620;04004498.edu@juntadeandalucia.es;36,85552290598202;-2,3918116092681884;554216,7124;4079017,85;BIL ING;BIL ING;;;;;;
22;04004577;12;Colegio de Educación Infantil y Primaria;Las Salinas;Público;C/ Badajoz, s/n;Roquetas de Mar;04079;Roquetas de Mar;Almería;04740;950156631;04004577.edu@juntadeandalucia.es;36,770388468418744;-2,610079050064087;534797,7509;4069472,19;BIL ING;BIL ING;;;;;;
22;04004620;34;Instituto de Educación Secundaria;Al-Ándalus;Público;Paseo de la Caridad, 125. Finca Santa Isabel;Almería;04013;Almería;Almería;04008;950156936;04004620.edu@juntadeandalucia.es;36,850156380264984;-2,465163677653777;547681,047;4078383,408;;;BIL ING;BIL ING;;;;
22;04004671;12;Colegio de Educación Infantil y Primaria;San Luis;Público;C/ De los Colegios, 12;Almería;04013;Almería;Almería;04009;950156178;04004671.edu@juntadeandalucia.es;36,84927622073008;-2,4423068134298113;549719,3409;4078297,422;BIL ING;BIL ING;;;;;;
22;04004802;34;Instituto de Educación Secundaria;Alborán - Manuel Cáliz;Público;Avda. Padre Méndez, 30;Almería;04013;Almería;Almería;04006;950156559;04004802.edu@juntadeandalucia.es;36,83923039713854;-2,452095010461404;548853,0885;4077177,971;;;PLURIL FRA/ING;BIL FRA;;;;
22;04004814;34;Instituto de Educación Secundaria;El Argar;Público;Paseo de la Caridad, 125;Almería;04013;Almería;Almería;04008;950156189;04004814.edu@juntadeandalucia.es;36,850882743654544;-2,468576431274414;547376,3468;4078462,286;;;BIL ALE;;;;;
22;04004826;34;Instituto de Educación Secundaria;Murgi;Público;Avda. Príncipes de España, 17;El Ejido;04902;El Ejido;Almería;04700;950579920;04004826.edu@juntadeandalucia.es;36,78182224666472;-2,8156650066375732;516448,1534;4070685,491;;;BIL ING;;;;;
22;04004954;12;Colegio de Educación Infantil y Primaria;Indalo;Público;C/ Granada, 249;Almería;04013;Almería;Almería;04008;950156195;04004954.edu@juntadeandalucia.es;36,84950480587571;-2,4555623531341553;548537,4312;4078315,962;BIL ING;BIL ING;;;;;;
22;04004966;34;Instituto de Educación Secundaria;Sabinar;Público;C/ Pío Baroja, s/n;Roquetas de Mar;04079;Roquetas de Mar;Almería;04740;950156783;04004966.edu@juntadeandalucia.es;36,75768376208892;-2,627571738696588;533242,1258;4068056,646;;;BIL ING;;;;;
22;04004978;34;Instituto de Educación Secundaria;El Palmeral;Público;C/ Hemano Lázaro, s/n;Vera;04100;Vera;Almería;04620;950451940;04004978.edu@juntadeandalucia.es;37,24420634333005;-1,8588739165445531;601209,0863;4122573,55;;;BIL ING;BIL ING;;;;
22;04005041;12;Colegio de Educación Infantil y Primaria;Madre de la Luz;Público;C/ Calzada de Castro, 3;Almería;04013;Almería;Almería;04006;950156550;04005041.edu@juntadeandalucía.es;36,8380897183971;-2,453749179840088;548706,3192;4077050,589;PLURIL FRA/ING;PLURIL FRA/ING;;;;;;
22;04005053;2;Colegio de Educación Primaria;Padre Méndez;Público;Avda. Padre Méndez, 29;Almería;04013;Almería;Almería;04006;950156197;04005053.edu@juntadeandalucia.es;36,839905771452194;-2,452523410320282;548814,4613;4077252,673;;BIL ING;;;;;;
22;04005120;12;Colegio de Educación Infantil y Primaria;Príncipe Felipe;Público;C/ Arco, 98;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451963;04005120.edu@juntadeandalucia.es;37,38567387666006;-1,9442260265350342;593463,435;4138180,705;BIL ING;BIL ING;;;;;;
22;04005193;12;Colegio de Educación Infantil y Primaria;Ángel de Haro;Público;Avda. de Andalucía, s/n;Vera;04100;Vera;Almería;04620;950451965;04005193.edu@juntadeandalucia.es;37,24512237989545;-1,8686842918395996;600337,7363;4122664,734;BIL ING;BIL ING;;;;;;
22;04005223;12;Colegio de Educación Infantil y Primaria;Ntra. Sra. de la Merced;Público;Avda. Guadalquivir, 75;La Gangosa;04102;Vícar;Almería;04738;950156797;04005223.edu@juntadeandalucia.es;36,8075667079778;-2,627352476119995;533240,1467;4073590,23;BIL ING;BIL ING;;;;;;
22;04005272;20;Centro Docente Privado;Nuestra Señora de Gádor;Privado;C/ Santuario Ntra. Sra. de Gádor,  s/n;Berja;04029;Berja;Almería;04760;950490014;secretaria@nuestrasenoradegador.es;36,85721338864161;-2,9238259335891143;506790,3218;4079035,486;;BIL ING;;;;;;
22;04005284;34;Instituto de Educación Secundaria;Martín García Ramos;Público;Ctra. de la Estación, 8;Albox;04006;Albox;Almería;04800;697951168;iesmgr@telefonica.net;37,38614129553454;-2,148344031091824;575392,8234;4138049,914;;;BIL ING;BIL ING;;;BIL ING;
22;04005338;12;Colegio de Educación Infantil y Primaria;Federico García Lorca;Público;C/ Goya, 2;Carboneras;04032;Carboneras;Almería;04140;950451687;04005338.edu@juntadeandalucia.es;37,00014345706674;-1,8919726320092071;598589,4426;4095462,036;BIL ING;BIL ING;;;;;;
22;04005351;361;Escuela Infantil;Gabriela Mistral;Público;C/ Octavio Augusto, 11;El Ejido;04902;El Ejido;Almería;04700;950579716;04005351.edu@juntadeandalucia.es;36,775681340645725;-2,81139937928333;516830,1169;4070005,027;BIL ING;;;;;;;
22;04005363;34;Instituto de Educación Secundaria;Al-Bujaira;Público;Avda. Guillermo Reyna, 37;Huércal-Overa;04053;Huércal-Overa;Almería;04600;950451920;04005363.edu@juntadeandalucia.es;37,395745219816135;-1,945953369140625;593298,0318;4139296,366;;;BIL ING;BIL ING;;BIL ING;;
22;04005399;12;Colegio de Educación Infantil y Primaria;Pedro Mena;Público;C/ Academia, 2;Adra;04003;Adra;Almería;04770;950579849;04005399.edu@juntadeandalucia.es;36,749829383637504;-3,017958723828997;498396,8837;4067120,867;BIL ING;BIL ING;;;;;;
22;04005442;12;Colegio de Educación Infantil y Primaria;Ángel Frigola;Público;C/ Rosaleda,19;La Mojonera;04903;La Mojonera;Almería;04745;950156915;04005442.edu@juntadeandalucia.es;36,75158640125037;-2,685220588646075;528098,724;4067361,804;BIL ING;BIL ING;;;;;;
22;04005533;34;Instituto de Educación Secundaria;Valle de Andarax;Público;C/ Olivares, s/n;Canjáyar;04030;Canjáyar;Almería;04450;950515905;04005533.edu@juntadeandalucia.es;37,0070893678671;-2,7382269501686096;523289,3964;4095690,841;;;BIL ING;;;;;
22;04005557;12;Colegio de Educación Infantil y Primaria;Encarnación Asensio Granados;Público;C/ Hermanos Machado, s/n;Cuevas del Almanzora;04035;Cuevas del Almanzora;Almería;04610;950451716;04005557.edu@juntadeandalucia.es;37,293466516471504;-1,876392931853161;599590,3219;4128020,084;BIL ING;BIL ING;;;;;;
22;04005594;12;Colegio de Educación Infantil y Primaria;Arco Iris;Público;C/ Celindo, 68;Aguadulce;04079;Roquetas de Mar;Almería;04720;950156506;04005594.edu@juntadeandalucia.es;36,80795061292402;-2,5804275441273603;537425,6823;4073650,155;BIL ING;BIL ING;;;;;;
